評等日期,公司代碼,券商,原評等,升/降,新評等,財測EPS(年度),舊目標價,新目標價,現價,備註
20200119,1477-聚陽,亞系券商,買進,降級,中立,,195.0,166.0,116.5,--
20200117,6670-,美系券商,無,首次,加碼,,,250.0,153.5,--
20200115,3218-大學光,亞系券商,無,首次,超越市場表現,,,120.0,74.0,--
20200114,6488-,歐系券商,中立,升級,超越市場表現,,335.0,500.0,379.5,--
20200110,3008-大立光,美系券商,買進,重申,買進,,5550.0,5550.0,3850.0,--
20200109,3034-聯詠,歐系券商,中立,升級,超越市場表現,,240.0,265.0,185.0,--
20200108,2327-國巨,亞系券商,中立,重申,中立,,315.0,350.0,339.5,--
20200107,3034-聯詠,美系券商,買進,重申,買進,,240.0,260.0,185.0,--
20200107,2395-研華,歐系券商,超越市場表現,重申,超越市場表現,,295.0,335.0,279.0,--
20200103,2360-致茂,亞系券商,買進,重申,買進,,160.0,171.0,137.5,--
20200102,3406-玉晶光,美系券商,加碼,首次,加碼,,630.0,670.0,465.5,--
20200102,3406-玉晶光,亞系券商,無,首次,買進,,,668.0,465.5,--
20191227,2474-可成,美系券商,減碼,重申,減碼,,210.0,195.0,217.0,--
20191223,8299-群聯,亞系券商,中立,升級,買進,,375.0,400.0,270.5,--
20191219,2327-國巨,亞系券商,--,首次,買進,,,500.0,339.5,--
20191213,3711-,美系券商,加碼,重申,加碼,,92.0,92.0,66.8,--
20191213,3711-,亞系券商,超越市場表現,重申,超越市場表現,,,90.0,66.8,--
20191205,4551-智伸科,亞系券商,無,首次,買進,,,238.0,133.0,--
20191128,2474-可成,美系券商,減碼,重申,減碼,,,210.0,217.0,--
20191127,6147-頎邦,美系券商,加碼,降級,中立,,90.0,56.0,56.0,--
20191122,2454-聯發科,亞系券商,減碼,重申,減碼,,277.0,306.0,368.0,--
20191115,3037-欣興,美系券商,賣出,升級,買進,,33.5,60.0,38.1,--
20191114,1477-聚陽,亞系券商,超越市場表現,降級,中立,,205.0,152.0,116.5,--
20191102,1590-F-亞德,亞系券商,買進,重申,買進,,415.0,447.0,497.0,--
20191101,1590-F-亞德,美系券商,加碼,重申,加碼,,450.0,460.0,497.0,--
20191101,2317-鴻海,美系券商,加碼,重申,加碼,,,100.0,75.8,--
20191101,1590-F-亞德,亞系券商,買進,重申,買進,,382.0,500.0,497.0,--
20191101,1590-F-亞德,歐系券商,超越市場表現,重申,超越市場表現,,450.0,460.0,497.0,--
20191031,2454-聯發科,亞系券商,買進,重申,買進,,500.0,530.0,368.0,--
20191031,2454-聯發科,美系券商,加碼,重申,加碼,,449.0,459.0,368.0,--
20191031,2454-聯發科,歐系券商,超越市場表現,重申,超越市場表現,,440.0,450.0,368.0,--
20191030,2454-聯發科,亞系券商,買進,重申,買進,,460.0,460.0,368.0,--
20191030,2454-聯發科,美系券商,加碼,重申,加碼,,430.0,470.0,368.0,--
20191024,2454-聯發科,美系券商,加碼,重申,加碼,,,449.0,368.0,--
20191024,3665-F-貿聯,亞系券商,無,首次,超越市場表現,,,236.0,179.5,--
20191023,2317-鴻海,亞系券商,買進,重申,買進,,,105.0,75.8,--
20191023,2912-統一超,美系券商,減碼,升級,加碼,,250.0,345.0,287.0,--
20191004,6121-新普,美系券商,無,首次,買進,,,340.0,298.0,--
20191003,2454-聯發科,亞系券商,買進,重申,買進,,370.0,460.0,368.0,--
20191002,3044-健鼎,亞系券商,買進,降級,中立,,120.0,120.0,103.0,--
20191002,3023-信邦,亞系券商,買進,重申,買進,,,158.0,127.0,--
20191001,3008-大立光,美系券商,加碼,重申,加碼,,,5200.0,3850.0,--
20191001,2330-台積電,美系券商,買進,重申,買進,,295.0,340.0,306.5,--
20190926,2330-台積電,美系券商,加碼,重申,加碼,,280.0,320.0,306.5,--
20190925,2308-台達電,美系券商,中立,重申,中立,,165.0,150.0,134.5,--
20190925,2308-台達電,亞系券商,買進,重申,買進,,196.0,182.0,134.5,--
20190919,2454-聯發科,美系券商,買進,首次,買進,,393.0,480.0,368.0,--
20190919,2330-台積電,美系券商,買進,重申,買進,,280.0,300.0,306.5,--
20190919,3008-大立光,美系券商,中立,升級,買進,,4000.0,4950.0,3850.0,--
20190918,2317-鴻海,亞系券商,買進,重申,買進,,,105.0,75.8,--
20190918,6239-力成,美系券商,無,首次,加碼,,,105.0,97.0,--
20190917,6412-群電,美系券商,加碼,重申,加碼,,60.0,70.0,56.8,--
20190916,6147-頎邦,亞系券商,中立,降級,減碼,,77.0,56.0,56.0,--
20190912,2454-聯發科,美系券商,中立,升級,加碼,,345.0,449.0,368.0,--
20190911,6176-瑞儀,美系券商,中立,升級,加碼,,123.0,143.0,92.8,--
20190910,1590-F-亞德,歐系券商,中立,升級,超越市場表現,,340.0,390.0,497.0,--
20190904,1590-F-亞德,美系券商,減碼,重申,減碼,,,200.0,497.0,--
20190904,1590-F-亞德,亞系券商,買進,重申,買進,,,382.0,497.0,--
20190904,3034-聯詠,歐系券商,中立,重申,中立,,172.0,185.0,185.0,--
20190902,3037-欣興,歐系券商,超越市場表現,重申,超越市場表現,,36.0,46.0,38.1,--
20190902,3034-聯詠,美系券商,--,首次,買進,,,240.0,185.0,--
20190830,3034-聯詠,美系券商,買進,重申,買進,,,225.0,185.0,--
20190830,2330-台積電,亞系券商,超越市場表現,重申,超越市場表現,,,310.0,306.5,--
20190829,2395-研華,亞系券商,中立,升級,買進,,275.0,300.0,279.0,--
20190829,3034-聯詠,亞系券商,買進,重申,買進,,198.0,207.0,185.0,--
20190828,2330-台積電,歐系券商,超越市場表現,重申,超越市場表現,,,290.0,306.5,--
20190828,2330-台積電,美系券商,加碼,重申,加碼,,,280.0,306.5,--
20190827,2379-瑞昱,亞系券商,超越市場表現,降級,賣出,,222.0,186.0,230.5,--
20190801,2454-聯發科,亞系券商,買進,重申,買進,,352.0,365.0,368.0,--
20190801,2454-聯發科,美系券商,加碼,重申,加碼,,350.0,370.0,368.0,--
20190731,2454-聯發科,亞系券商,買進,重申,買進,,370.0,380.0,368.0,--
20190731,2454-聯發科,歐系券商,超越市場表現,重申,超越市場表現,,365.0,365.0,368.0,--
20190731,3081-聯亞,亞系券商,持有,重申,持有,,275.0,241.0,258.0,--
20190730,3081-聯亞,亞系券商,中立,重申,中立,,284.0,261.0,258.0,--
20190729,2330-台積電,美系券商,中立,重申,中立,,,236.0,306.5,--
